#Parameters = {phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) [Magnitude]"
#------------------------------------------------
70.315200000000	-27.132952054639
70.336800000000	-27.247498115809
70.358400000000	-27.363591461169
70.380000000000	-27.481274011364
70.401600000000	-27.600589419976
70.423200000000	-27.721583170372
70.444800000000	-27.844302679417
70.466400000000	-27.968797408640
70.488000000000	-28.095118983497
70.509600000000	-28.223321321470
70.531200000000	-28.353460769780
70.552800000000	-28.485596253594
70.574400000000	-28.619789435721
70.596000000000	-28.756104888853
70.617600000000	-28.894610281576
70.639200000000	-29.035376579478
70.660800000000	-29.178478262861
70.682400000000	-29.323993562721
70.704000000000	-29.472004716863
70.725600000000	-29.622598248268
70.747200000000	-29.775865268042
70.768800000000	-29.931901805628
70.790400000000	-30.090809169266
70.812000000000	-30.252694340074
70.833600000000	-30.417670403618
70.855200000000	-30.585857023297
70.876800000000	-30.757380960526
70.898400000000	-30.932376647364
70.920000000000	-31.110986818071
70.941600000000	-31.293363207023
70.963200000000	-31.479667321517
70.984800000000	-31.670071299344
71.006400000000	-31.864758862505
71.028000000000	-32.063926380332
71.049600000000	-32.267784057397
71.071200000000	-32.476557264216
71.092800000000	-32.690488031863
71.114400000000	-32.909836735300
71.136000000000	-33.134883994777
71.157600000000	-33.365932830078
71.179200000000	-33.603311109073
71.200800000000	-33.847374340138
71.222400000000	-34.098508868083
71.244000000000	-34.357135545598
71.265600000000	-34.623713967708
71.287200000000	-34.898747376071
71.308800000000	-35.182788364396
71.330400000000	-35.476445547253
71.352000000000	-35.780391394222
71.373600000000	-36.095371482504
71.395200000000	-36.422215487597
71.416800000000	-36.761850318928
71.438400000000	-37.115315922895
71.460000000000	-37.483784430434
71.481600000000	-37.868583535459
71.503200000000	-38.271225277060
71.524800000000	-38.693441795728
71.546400000000	-39.137230192810
71.568000000000	-39.604909420718
71.589600000000	-40.099193290692
71.611200000000	-40.623285399625
71.632800000000	-41.181004365570
71.654400000000	-41.776951756613
71.676000000000	-42.416741421173
71.697600000000	-43.107319222162
71.719200000000	-43.857419478309
71.740800000000	-44.678234566551
71.762400000000	-45.584428922365
71.784000000000	-46.595733159137
71.805600000000	-47.739564980716
71.827200000000	-49.055579290076
71.848800000000	-50.604117733174
71.870400000000	-52.483286902550
71.892000000000	-54.867379009159
71.913600000000	-58.104771843052
71.935200000000	-62.963177044613
71.956800000000	-68.685104257169
71.978400000000	-63.596831475681
72.000000000000	-58.508186774247
72.021600000000	-55.150624435202
72.043200000000	-52.699742363174
72.064800000000	-50.778807697249
72.086400000000	-49.201850005921
72.108000000000	-47.865298425721
72.129600000000	-46.705951084166
72.151200000000	-45.682520267191
72.172800000000	-44.766591244170
72.194400000000	-43.937791260665
72.216000000000	-43.181024087721
72.237600000000	-42.484796500976
72.259200000000	-41.840158242448
72.280800000000	-41.240004491223
72.302400000000	-40.678601819567
72.324000000000	-40.151256992587
72.345600000000	-39.654079952690
72.367200000000	-39.183810609319
72.388800000000	-38.737689893051
72.410400000000	-38.313362170437
72.432000000000	-37.908800297947
72.453600000000	-37.522247295970
72.475200000000	-37.152170410482
72.496800000000	-36.797224535539
72.518400000000	-36.456222798428
72.540000000000	-36.128112688534
72.561600000000	-35.811956522248
72.583200000000	-35.506915332266
72.604800000000	-35.212235485618
72.626400000000	-34.927237494172
72.648000000000	-34.651306600376
72.669600000000	-34.383884810763
72.691200000000	-34.124464118091
72.712800000000	-33.872580705516
72.734400000000	-33.627809966925
72.756000000000	-33.389762209302
72.777600000000	-33.158078928060
72.799200000000	-32.932429566063
72.820800000000	-32.712508682893
72.842400000000	-32.498033473595
72.864000000000	-32.288741586379
72.885600000000	-32.084389197087
72.907200000000	-31.884749305002
72.928800000000	-31.689610220168
72.950400000000	-31.498774216958
72.972000000000	-31.312056332445
72.993600000000	-31.129283291284
73.015200000000	-30.950292541452
73.036800000000	-30.774931387407
73.058400000000	-30.603056209091
73.080000000000	-30.434531756782
73.101600000000	-30.269230513111
73.123200000000	-30.107032114725
73.144800000000	-29.947822827017
73.166400000000	-29.791495066199
73.188000000000	-29.637946963670
73.209600000000	-29.487081968282
73.231200000000	-29.338808482616
73.252800000000	-29.193039529816
73.274400000000	-29.049692447984
73.296000000000	-28.908688609414
73.317600000000	-28.769953162304
73.339200000000	-28.633414792805
73.360800000000	-28.499005505528
73.382400000000	-28.366660420803
73.404000000000	-28.236317587198
73.425600000000	-28.107917807919
73.447200000000	-27.981404479893
73.468800000000	-27.856723444427
73.490400000000	-27.733822848465
73.512000000000	-27.612653015549
73.533600000000	-27.493166325683
73.555200000000	-27.375317103371
73.576800000000	-27.259061513173
73.598400000000	-27.144357462178
73.620000000000	-27.031164508858
73.641600000000	-26.919443777800
73.663200000000	-26.809157879869
73.684800000000	-26.700270837404
73.706400000000	-26.592748014047
73.728000000000	-26.486556048892
73.749600000000	-26.381662794618
73.771200000000	-26.278037259331
73.792800000000	-26.175649551846
73.814400000000	-26.074470830177
73.836000000000	-25.974473252991
73.857600000000	-25.875629933856
73.879200000000	-25.777914898059
73.900800000000	-25.681303041843
73.922400000000	-25.585770093899
73.944000000000	-25.491292578961
73.965600000000	-25.397847783367
73.987200000000	-25.305413722466
74.008800000000	-25.213969109747
74.030400000000	-25.123493327591
74.052000000000	-25.033966399528
74.073600000000	-24.945368963927
74.095200000000	-24.857682249018
74.116800000000	-24.770888049171
74.138400000000	-24.684968702352
74.160000000000	-24.599907068693
74.181600000000	-24.515686510110
74.203200000000	-24.432290870900
